"id","name_full","name_sortable","is_dead","when_born","when_died","org_acronym"
"44328","Gary Player","Gary Player","0",,,"1PW"
"44329","Glenn Garrison","Glenn Garrison","0",,,"1PW"
"44330","Harry Mills","Harry Mills","0",,,"1PW"
"44331","Harry Smith","Harry Smith","0",,,"1PW"
"44332","Homicide","Homicide","0",,,"1PW"
"44310","Ice XVII","Ice XVII","0",,,"1PW"
"44335","Iceman","Iceman","0",,,"1PW"
"44338","Ippei Ota","Ippei Ota","0",,,"1PW"
"44340","Jack Russell","Jack Russell","0",,,"1PW"
"44341","Jack Storm","Jack Storm","0",,,"1PW"
"44342","James Wallace","James Wallace","0",,,"1PW"
"44344","Jamie Brum","Jamie Brum","0",,,"1PW"
"53819","Jamie Hayter","Jamie Hayter","0",,,"1PW"
"44345","Jason Genesis","Jason Genesis","0",,,"1PW"
"44343","Jay Phoenix","Jay Phoenix","0",,,"1PW"
"44346","Jeff Jarrett","Jeff Jarrett","0",,,"1PW"
"44347","Jeremy Borash","Jeremy Borash","0",,,"1PW"
"44348","Jerry Lynn","Jerry Lynn","0",,,"1PW"
"44349","Jimmy Jacobs","Jimmy Jacobs","0",,,"1PW"
"44350","Jody Fleisch","Jody Fleisch","0",,,"1PW"
"44353","Joey Hayes","Joey Hayes","0",,,"1PW"
"56312","John Morrison","John Morrison","0",,,"1PW"
"56307","John Skyler","John Skyler","0",,,"1PW"
"44354","Johnny Moss","Johnny Moss","0",,,"1PW"
"44355","Jonny Storm","Jonny Storm","0",,,"1PW"
"44356","Keith Myatt","Keith Myatt","0",,,"1PW"
"44357","Kev Noir","Kev Noir","0",,,"1PW"
"44358","Kevin Thorn","Kevin Thorn","0",,,"1PW"
"44359","Kikutaro","Kikutaro","0",,,"1PW"
"44360","Kris Travis","Kris Travis","1","1983","2016","1PW"
"44361","Larry Sweeney","Larry Sweeney","1","1981","2011","1PW"
"44362","Lionheart","Lionheart","1","1982","2019","1PW"
"53829","Lizzy Evo","Lizzy Evo","0",,,"1PW"
"44363","Low Ki","Low Ki","0",,,"1PW"
"53826","Luke Jacobs","Luke Jacobs","0",,,"1PW"
"44364","Mad Man Manson","Mad Man Manson","0",,,"1PW"
"44307","Majik","Majik","0",,,"1PW"
"53823","Man Like Dereiss","Man Like Dereiss","0",,,"1PW"
"44396","Mark Haskins","Mark Haskins","0",,,"1PW"
"44366","Mark Sloan","Mark Sloan","0",,,"1PW"
"44367","Martin Stone","Martin Stone","0",,,"1PW"
"53820","Martina","Martina","0",,,"1PW"
"44368","Masato Tanaka","Masato Tanaka","0",,,"1PW"
"44369","Matt Slater","Matt Slater","0",,,"1PW"
"44370","Mickey L","Mickey L","0",,,"1PW"
"53830","Mickie James","Mickie James","0",,,"1PW"
"44371","Mini Ligero","Mini Ligero","0",,,"1PW"
"44372","Mohammed Yone","Mohammed Yone","0",,,"1PW"
"44279","MXT","MXT","0",,,"1PW"
"53817","Nathan Cruz","Nathan Cruz","0",,,"1PW"
"44374","Nick Elite","Nick Elite","0",,,"1PW"
"44375","Nigel McGuinness","Nigel McGuinness","0",,,"1PW"
"44376","PAC","PAC","0",,,"1PW"
"44378","Petey Williams","Petey Williams","0",,,"1PW"
"44379","Prince Mohmed Ameen","Prince Mohmed Ameen","0",,,"1PW"
"44381","The Prophets of Liberty","Prophets of Liberty","0",,,"1PW"
"44382","Raven","Raven","0",,,"1PW"
"44383","Rhino","Rhino","0",,,"1PW"
"44384","Ric Flair","Ric Flair","0",,,"1PW"
"44385","Ricky Knight","Ricky Knight","0",,,"1PW"
"56308","Ricky Knight Jr.","Ricky Knight Jr.","0",,,"1PW"
"44386","Rob Van Dam","Rob Van Dam","0",,,"1PW"
"44387","Robbie X","Robbie X","0",,,"1PW"
"56305","Ruby Soho","Ruby Soho","0",,,"1PW"
"44389","Ruffneck","Ruffneck","0",,,"1PW"
"44390","Sabu","Sabu","1","1964","2025","1PW"
"44391","Sam Slam","Sam Slam","0",,,"1PW"
"44392","Samoa Joe","Samoa Joe","0",,,"1PW"
"44393","The Sandman","Sandman","0",,,"1PW"
"44394","Scott Renwick","Scott Renwick","0",,,"1PW"
"53825","Scotty Rawk","Scotty Rawk","0",,,"1PW"
"44280","Shabazz","Shabazz","0",,,"1PW"
"53832","Skins","Skins","0",,,"1PW"
"44398","Spud","Spud","0",,,"1PW"
"44399","Sterling James Keenan","Sterling James Keenan","0",,,"1PW"
"44400","Steve Corino","Steve Corino","0",,,"1PW"
"44401","Stevie Aaron","Stevie Aaron","0",,,"1PW"
"44402","Stevie Flint","Stevie Flint","0",,,"1PW"
"44403","Stevie Flint (Exit)","Stevie Flint (Exit)","0",,,"1PW"
"44308","Stevie Lynn","Stevie Lynn","0",,,"1PW"
"44404","Stixx","Stixx","0",,,"1PW"
"44405","T-Bone","T-Bone","0",,,"1PW"
"44407","Takashi Sugiura","Takashi Sugiura","0",,,"1PW"
"44408","Takeshi Morishima","Takeshi Morishima","0",,,"1PW"
"56310","Taonga","Taonga","0",,,"1PW"
"56311","Taya Valkyrie","Taya Valkyrie","0",,,"1PW"
"44412","Terry Frazier","Terry Frazier","0",,,"1PW"
"44413","Tommy Boyce","Tommy Boyce","0",,,"1PW"
"44414","Tommy Dreamer","Tommy Dreamer","0",,,"1PW"
"44415","Tony Spitfire","Tony Spitfire","0",,,"1PW"
"44416","Tracy Smothers","Tracy Smothers","1","1962","2020","1PW"
"44418","Ulf Hermann","Ulf Hermann","0",,,"1PW"
"44419","Wade Fitzgerald","Wade Fitzgerald","0",,,"1PW"
"56306","Will Kroos","Will Kroos","0",,,"1PW"
"56313","Will Ospreay","Will Ospreay","0",,,"1PW"
"44420","Yoshinobu Kanemaru","Yoshinobu Kanemaru","0",,,"1PW"
"44421","Zack Sabre Jr.","Zack Sabre Jr.","0",,,"1PW"
"44422","Zak Zodiac","Zak Zodiac","0",,,"1PW"
"44423","The Zebra Kid","Zebra Kid","0",,,"1PW"
"9529","Aki Kambayashi","Aki Kambayashi","0",,,"2AW"
"10322","Aoi Ishibashi","Aoi Ishibashi","0",,,"2AW"
"9530","Apple Miyuki","Apple Miyuki","0",,,"2AW"
"19504","Ayato Yoshida","Ayato Yoshida","0",,,"2AW"
"10744","Ayumu Honda","Ayumu Honda","0",,,"2AW"
"9531","Bambi","Bambi","0",,,"2AW"
"15052","Boso Boy Left","Boso Boy Left","0",,,"2AW"
"10224","Boso Boy Raito","Boso Boy Raito","0",,,"2AW"
"20060","Bozz Union","Bozz Union","0",,,"2AW"
"66295","CHANGO","CHANGO","0",,,"2AW"
"10749","Cheeba Man","Cheeba Man","0",,,"2AW"
"19510","Chiba Heroes","Chiba Heroes","0",,,"2AW"
"10242","Chiba Port Towers","Chiba Port Towers","0",,,"2AW"
"10237","Commissioner Mike Sato","Commissioner Mike Sato","0",,,"2AW"
"10238","Commissioner Nakamura","Commissioner Nakamura","0",,,"2AW"
"10225","Daigoro Kashiwa","Daigoro Kashiwa","0",,,"2AW"
"10254","Daisuke Matsumoto","Daisuke Matsumoto","0",,,"2AW"
"15051","Dandy Takuya","Dandy Takuya","0",,,"2AW"
"19505","Dinosaur Takuma","Dinosaur Takuma","0",,,"2AW"
"10246","DJ Nira","DJ Nira","0",,,"2AW"
"10323","F-Words","F-Words","0",,,"2AW"
"10812","Funabassy","Funabassy","0",,,"2AW"
"10982","Fuyuki Takahashi","Fuyuki Takahashi","0",,,"2AW"
"15061","Gabai Ji-chan","Gabai Ji-chan","0",,,"2AW"
"10811","Ganko Takedo","Ganko Takedo","0",,,"2AW"
"10748","GLOBO Kamen","GLOBO Kamen","0",,,"2AW"
"19503","GO Asakawa","GO Asakawa","0",,,"2AW"
"9532","Hajime Ishikawa","Hajime Ishikawa","0",,,"2AW"
"10226","Hardcore Kid Kojiro","Hardcore Kid Kojiro","0",,,"2AW"
"9533","Hi69","Hi69","0",,,"2AW"
"10231","Hiro Tonai","Hiro Tonai","0",,,"2AW"
"15054","Hiroki","Hiroki","0",,,"2AW"
"10243","Inouchi","Inouchi","0",,,"2AW"
"10251","Isami Kodaka","Isami Kodaka","0",,,"2AW"
"10750","Jef","Jef","0",,,"2AW"
"9534","JOE","JOE","0",,,"2AW"
"9535","Joe Aoyama","Joe Aoyama","0",,,"2AW"
"10229","Kaji Tomato","Kaji Tomato","0",,,"2AW"
"19500","Kaji Yamato","Kaji Yamato","0",,,"2AW"
"10249","Kashiwa-gumi","Kashiwa-gumi","0",,,"2AW"
"9537","KAZMA","KAZMA","0",,,"2AW"
"10324","Kei Akiyama","Kei Akiyama","0",,,"2AW"
"9538","Kengo Mashimo","Kengo Mashimo","0",,,"2AW"
"10235","Kim Nam Seok","Kim Nam Seok","0",,,"2AW"
"10813","Koutaro Yoshino","Koutaro Yoshino","0",,,"2AW"
"9539","Kunio Toshima","Kunio Toshima","0",,,"2AW"
"19502","Kyu Mogami","Kyu Mogami","0",,,"2AW"
"15063","La Malcriada","La Malcriada","0",,,"2AW"
"10751","Little Galaxy","Little Galaxy","0",,,"2AW"
"10239","Los Cuatro Tabascos","Los Cuatro Tabascos","0",,,"2AW"
"10222","Madoka","Madoka","0",,,"2AW"
"15056","Makoto Oishi","Makoto Oishi","0",,,"2AW"
"9540","Manami Kanda","Manami Kanda","0",,,"2AW"
"9546","Marines Mask II","Marines Mask II","0",,,"2AW"
"10807","Marlins Mask","Marlins Mask","0",,,"2AW"
"19507","Masked Jef","Masked Jef","0",,,"2AW"
"10325","Mayumi Hashiba","Mayumi Hashiba","0",,,"2AW"
"9541","Mikata Fuyuki","Mikata Fuyuki","0",,,"2AW"
"9542","Mike Lee Jr.","Mike Lee Jr.","0",,,"2AW"
"10258","Minoru Fujita","Minoru Fujita","0",,,"2AW"
"15062","Miss Mongol","Miss Mongol","0",,,"2AW"
"10236","Miyako Man","Miyako Man","0",,,"2AW"
"9543","MIYAWAKI","MIYAWAKI","0",,,"2AW"
"10747","Mobara Tanabata Seven","Mobara Tanabata Seven","0",,,"2AW"
"9544","Mr. X","Mr. X","0",,,"2AW"
"15050","Mr. X2","Mr. X2","0",,,"2AW"
"10326","Ms. X","Ms. X","0",,,"2AW"
"19693","NEX4","NEX4","0",,,"2AW"
"10327","Nudy Rave","Nudy Rave","0",,,"2AW"
"9545","Ofune","Ofune","0",,,"2AW"
"10328","PABLO","PABLO","0",,,"2AW"
"10241","Pal Punte","Pal Punte","0",,,"2AW"
"19501","PSYCHO","PSYCHO","0",,,"2AW"
"10745","Qiball Man","Qiball Man","0",,,"2AW"
"10227","Quiet Storm","Quiet Storm","0",,,"2AW"
"10232","Randy Takuya","Randy Takuya","0",,,"2AW"
"9547","Ricky Fuji","Ricky Fuji","0",,,"2AW"
"9548","Ryota Chikuzen","Ryota Chikuzen","0",,,"2AW"
"15053","Ryoutai Chikuzen","Ryoutai Chikuzen","0",,,"2AW"
"10234","Ryuichi Sekine","Ryuichi Sekine","0",,,"2AW"
"9549","Saburo Inematsu","Saburo Inematsu","0",,,"2AW"
"9550","Sambo Oishi","Sambo Oishi","0",,,"2AW"
"19695","Sekitoba","Sekitoba","0",,,"2AW"
"9551","Shiori Asahi","Shiori Asahi","0",,,"2AW"
"10752","Silence","Silence","0",,,"2AW"
"10259","Silver Wolf","Silver Wolf","0",,,"2AW"
"9552","Super X","Super X","0",,,"2AW"
"10233","Tadanobu Fujisawa","Tadanobu Fujisawa","0",,,"2AW"
"10230","Taishi Takizawa","Taishi Takizawa","0",,,"2AW"
"9553","TAKA Michinoku","TAKA Michinoku","0",,,"2AW"
"66293","Takato Nakano","Takato Nakano","0",,,"2AW"
"15059","Taku Anzawa","Taku Anzawa","0",,,"2AW"
"10245","Taku Joetsu","Taku Joetsu","0",,,"2AW"
"15058","TAKU Michinoku","TAKU Michinoku","0",,,"2AW"
"10329","Tank Nagai","Tank Nagai","0",,,"2AW"
"9555","Teppei Ishizaka","Teppei Ishizaka","0",,,"2AW"
"10252","Tetsupei Ishizaka","Tetsupei Ishizaka","0",,,"2AW"
"10816","Tiran Shisa","Tiran Shisa","0",,,"2AW"
"9556","Tomoka Nakagawa","Tomoka Nakagawa","0",,,"2AW"
"15057","True Mashimo","True Mashimo","0",,,"2AW"
"10248","Tsubasa Kuragaki","Tsubasa Kuragaki","0",,,"2AW"
"10253","X No.2","X No.2","0",,,"2AW"
"10255","X No.3","X No.3","0",,,"2AW"
"10256","X No.4","X No.4","0",,,"2AW"
"10257","X No.5","X No.5","0",,,"2AW"
"9557","X's","X's","0",,,"2AW"
"9558","Yasu Urano","Yasu Urano","0",,,"2AW"
"9559","Yoshiaki Yago","Yoshiaki Yago","0",,,"2AW"
"10240","Yoshidaya","Yoshidaya","0",,,"2AW"
"10815","Yoshihiro Horiguchi","Yoshihiro Horiguchi","0",,,"2AW"
"9560","YOSHIYA","YOSHIYA","0",,,"2AW"
"10746","Yotsukaider","Yotsukaider","0",,,"2AW"
"9562","Yuji Hino","Yuji Hino","0",,,"2AW"
"10330","Yuki Sato","Yuki Sato","0",,,"2AW"
"10814","Yuma","Yuma","0",,,"2AW"
"9563","Yusaku Obata","Yusaku Obata","0",,,"2AW"
"10331","Yutaka Fukuda","Yutaka Fukuda","0",,,"2AW"
"9565","Yuu Yamagata","Yuu Yamagata","0",,,"2AW"
"10250","Yuu Yamakake","Yuu Yamakake","0",,,"2AW"
"41709","Aaron Aims","Aaron Aims","0",,,"321Battle"
"41711","AceJack","AceJack","0",,,"321Battle"
"41715","Air Adonis","Air Adonis","0",,,"321Battle"
"41716","Air Jordayn","Air Jordayn","0",,,"321Battle"
"41717","Alex Zayne","Alex Zayne","0",,,"321Battle"
"41718","The All Stars","All Stars","0",,,"321Battle"
"41719","Allan Jepsen","Allan Jepsen","0",,,"321Battle"
"41942","Alyssa Black","Alyssa Black","0",,,"321Battle"
"41720","Anthony Butabi","Anthony Butabi","0",,,"321Battle"
"41721","Artemis Spencer","Artemis Spencer","0",,,"321Battle"
"41722","Ashley Dunn","Ashley Dunn","0",,,"321Battle"
"41723","Asis No Warranty","Asis No Warranty","0",,,"321Battle"
"41728","Ave Rex","Ave Rex","0",,,"321Battle"
"35485","B-Boy","B-Boy","0",,,"321Battle"
"41733","Badd Blood","Badd Blood","0",,,"321Battle"
"41734","Bambi Hall","Bambi Hall","0",,,"321Battle"
"41738","BatBoy","BatBoy","0",,,"321Battle"
"41730","Benny Capricorn","Benny Capricorn","0",,,"321Battle"
"41741","Big Baby Logan","Big Baby Logan","0",,,"321Battle"
"41742","Billy Suede","Billy Suede","0",,,"321Battle"
"41743","The Bird","Bird","0",,,"321Battle"
"41773","Bob Evans","Bob Evans","0",,,"321Battle"
"41775","Brian Pillman Jr.","Brian Pillman Jr.","0",,,"321Battle"
"41776","Brittany Wonder","Brittany Wonder","0",,,"321Battle"
"41777","Brody Adams","Brody Adams","0",,,"321Battle"
"41778","Caden Cassidy","Caden Cassidy","0",,,"321Battle"
"41779","Carl Randers","Carl Randers","0",,,"321Battle"
"41780","Cat Power","Cat Power","0",,,"321Battle"
"41781","The Champions","Champions","0",,,"321Battle"
"41783","Chris Von Goodwin","Chris Von Goodwin","0",,,"321Battle"
"41784","Christian Andes","Christian Andes","0",,,"321Battle"
"41785","Christina Von Eerie","Christina Von Eerie","0",,,"321Battle"
"41786","CJ Edwards","CJ Edwards","0",,,"321Battle"
"41788","Coach Steele","Coach Steele","0",,,"321Battle"
"41789","Cody Von Whistler","Cody Von Whistler","0",,,"321Battle"
"35486","Cole Crazy","Cole Crazy","0",,,"321Battle"
"41790","Colleen","Colleen","0",,,"321Battle"
"41791","Colt Cabana","Colt Cabana","0",,,"321Battle"
"41792","Craig Mitchell","Craig Mitchell","0",,,"321Battle"
"41793","Daniel Makabe","Daniel Makabe","0",,,"321Battle"
"41794","Dante Smythe","Dante Smythe","0",,,"321Battle"
"41795","Darby Allin","Darby Allin","0",,,"321Battle"
"41796","The Dark Sheik","Dark Sheik","0",,,"321Battle"
"41797","Dave Cole","Dave Cole","0",,,"321Battle"
"41798","Dave Turner","Dave Turner","0",,,"321Battle"
"41799","David Starr","David Starr","0",,,"321Battle"
"41800","Desi Derata","Desi Derata","0",,,"321Battle"
"41801","Dexter Beckett","Dexter Beckett","0",,,"321Battle"
"41802","Diva le Déviant","Diva le DÃ©viant","0",,,"321Battle"
"41804","Draven Lawless","Draven Lawless","0",,,"321Battle"
"35494","Drew Sarian","Drew Sarian","0",,,"321Battle"
"41805","Drexl","Drexl","0",,,"321Battle"
"41806","Drugz Bunny","Drugz Bunny","0",,,"321Battle"
"41705","Eddie Pearl","Eddie Pearl","0",,,"321Battle"
"35487","Eddie Van Glam","Eddie Van Glam","0",,,"321Battle"
"41808","Eddie Van Glam (Exit)","Eddie Van Glam (Exit)","0",,,"321Battle"
"41807","Eddie Van Gloom","Eddie Van Gloom","0",,,"321Battle"
"41809","Effy","Effy","0",,,"321Battle"
"41810","El Chupacabra","El Chupacabra","0",,,"321Battle"
"41875","Ellie","Ellie","0",,,"321Battle"
"41811","Elliot Tyler","Elliot Tyler","0",,,"321Battle"
"41819","Emmett Montgomery","Emmett Montgomery","0",,,"321Battle"
"41820","Eric Wright","Eric Wright","0",,,"321Battle"
"41821","Erik Strange","Erik Strange","0",,,"321Battle"
"41822","Ethan HD","Ethan HD","0",,,"321Battle"
"41823","Evan Excelsior","Evan Excelsior","0",,,"321Battle"
"41824","Flip Kendrick","Flip Kendrick","0",,,"321Battle"
"41825","Frankie Flawless","Frankie Flawless","0",,,"321Battle"
"41840","Funny Bone","Funny Bone","0",,,"321Battle"
"41843","Greengo Loco","Greengo Loco","0",,,"321Battle"
"41844","Gregor Sage","Gregor Sage","0",,,"321Battle"
"41846","Gregory Iron","Gregory Iron","0",,,"321Battle"
"41848","Hawlee Layne","Hawlee Layne","0",,,"321Battle"
"41849","The Hellfire Club","Hellfire Club","0",,,"321Battle"
"41850","Herman Nerdstrom","Herman Nerdstrom","0",,,"321Battle"
"41852","Hero","Hero","0",,,"321Battle"
"41857","Hyperstreak","Hyperstreak","0",,,"321Battle"
"41876","Icky","Icky","0",,,"321Battle"
"41858","Izzy McQueen","Izzy McQueen","0",,,"321Battle"
"41859","Jack The Snack","Jack The Snack","0",,,"321Battle"
"41861","Jacky Lee","Jacky Lee","0",,,"321Battle"
"41862","Jacub Soumis","Jacub Soumis","0",,,"321Battle"
"41863","Jake Stratton","Jake Stratton","0",,,"321Battle"
"35488","Jeff Cobb","Jeff Cobb","0",,,"321Battle"
"41864","JerBear The Killer","JerBear The Killer","0",,,"321Battle"
"41866","Jesus Christ","Jesus Christ","0",,,"321Battle"
"41867","Jesus Christ Jr.","Jesus Christ Jr.","0",,,"321Battle"
"41868","Jimmy Flame","Jimmy Flame","0",,,"321Battle"
"41869","Joe Brody","Joe Brody","0",,,"321Battle"
"35489","Joey Ryan","Joey Ryan","0",,,"321Battle"
"41870","Johnny Cockstrong","Johnny Cockstrong","0",,,"321Battle"
"41871","Johnny Flynn","Johnny Flynn","0",,,"321Battle"
"41872","Jonathan Gresham","Jonathan Gresham","0",,,"321Battle"
"41873","Judas Icarus","Judas Icarus","0",,,"321Battle"
"41877","Justex","Justex","0",,,"321Battle"
"41878","Kaden Talbain","Kaden Talbain","0",,,"321Battle"
"41879","Kaine Jaiden","Kaine Jaiden","0",,,"321Battle"
"41880","Karleena Gore","Karleena Gore","0",,,"321Battle"
"41881","Kate Carney","Kate Carney","0",,,"321Battle"
"35490","Kenny K","Kenny K","0",,,"321Battle"
"41883","Kevin Matthis","Kevin Matthis","0",,,"321Battle"
"41884","Kikutaro","Kikutaro","0",,,"321Battle"
"41885","Kikyo","Kikyo","0",,,"321Battle"
"41886","Kimber Lee","Kimber Lee","0",,,"321Battle"
"41887","Kiwanis Adonis","Kiwanis Adonis","0",,,"321Battle"
"41889","Kris Wolf","Kris Wolf","0",,,"321Battle"
"41890","Kyle King","Kyle King","0",,,"321Battle"
"41892","Led Lawless","Led Lawless","0",,,"321Battle"
"41895","Levi Shapiro","Levi Shapiro","0",,,"321Battle"
"41896","Liiza Hall","Liiza Hall","0",,,"321Battle"
"41897","Logan Stunt","Logan Stunt","0",,,"321Battle"
"41899","Lucky Strike Flynn","Lucky Strike Flynn","0",,,"321Battle"
"41900","Malcolm Phlex","Malcolm Phlex","0",,,"321Battle"
"41901","Mama Shango","Mama Shango","0",,,"321Battle"
"41902","Marcus Anderson","Marcus Anderson","0",,,"321Battle"
"41903","Master Chief","Master Chief","0",,,"321Battle"
"41904","Matt Cross","Matt Cross","0",,,"321Battle"
"41905","Matt XStatic","Matt XStatic","0",,,"321Battle"
"41906","Matthew Aalon","Matthew Aalon","0",,,"321Battle"
"41908","Max Burnside","Max Burnside","0",,,"321Battle"
"41909","Mike Santiago","Mike Santiago","0",,,"321Battle"
"41910","Milo The Clown Killer","Milo The Clown Killer","0",,,"321Battle"
"41914","Mr. Fitness","Mr. Fitness","0",,,"321Battle"
"41915","Murray Grande","Murray Grande","0",,,"321Battle"
"41916","The Mystery Janitor","Mystery Janitor","0",,,"321Battle"
"41917","Naddie Russum","Naddie Russum","0",,,"321Battle"
"41918","Nathan Legacy","Nathan Legacy","0",,,"321Battle"
"41937","The Natural","Natural","0",,,"321Battle"
"41938","Negro Navarro","Negro Navarro","0",,,"321Battle"
"41939","Nick Radford","Nick Radford","0",,,"321Battle"
"41940","Nicole Matthews","Nicole Matthews","0",,,"321Battle"
"41941","Nurse Black","Nurse Black","0",,,"321Battle"
