id,name_full,name_sort,year_born,year_died,is_dead,org_acronym
181,Vic Grimes,Vic Grimes,,,0,ECW
182,Vito LoGrasso,Vito LoGrasso,,,0,ECW
183,Yoshihiro Tajiri,Yoshihiro Tajiri,,,0,ECW
186,A-1,A-1,,,0,TNA
187,Abismo Negro,Abismo Negro,1971,2009,1,TNA
188,Abyss,Abyss,,,0,TNA
189,Ace Steel,Ace Steel,,,0,TNA
190,AJ Styles,AJ Styles,,,0,TNA
191,Alex Shelley,Alex Shelley,,,0,TNA
192,Alexis Laree,Alexis Laree,,,0,TNA
193,The Amazing Red,Amazing Red,,,0,TNA
195,Andrew Martin,Andrew Martin,1975,2009,1,TNA
196,Andy Douglas,Andy Douglas,,,0,TNA
197,Angelina Love,Angelina Love,,,0,TNA
199,Apolo,Apolo,,,0,TNA
200,April Hunter,April Hunter,,,0,TNA
202,Athena,Athena,,,0,TNA
203,Austin Aries,Austin Aries,,,0,TNA
204,Awesome Kong,Awesome Kong,,,0,TNA
206,Kahoneys,Kahoneys,1972,2016,1,TNA
209,Belladonna,Belladonna,1979,2019,1,TNA
210,BG James,BG James,,,0,TNA
211,Big Fat Oily Guy,Big Fat Oily Guy,,,0,TNA
213,Big Vito,Big Vito,,,0,TNA
214,Bill Behrens,Bill Behrens,,,0,TNA
216,Black Reign,Black Reign,,,0,TNA
218,Rocky Romero,Rocky Romero,,,0,TNA
219,Bo Dupp,Bo Dupp,,,0,TNA
220,Bob Armstrong,Bob Armstrong,1939,2020,1,TNA
221,Bob Backlund,Bob Backlund,,,0,TNA
222,Bobby Eaton,Bobby Eaton,1958,2021,1,TNA
223,Booker T,Booker T,,,0,TNA
224,Brian Gamble,Brian Gamble,,,0,TNA
225,Brian Lawler,Brian Lawler,1972,2018,1,TNA
226,Brian Lee,Brian Lee,,,0,TNA
227,Brian Urlacher,Brian Urlacher,,,0,TNA
229,Brother Runt,Brother Runt,,,0,TNA
230,Alan Funk,Alan Funk,,,0,TNA
231,Bruno Sassi,Bruno Sassi,,,0,TNA
232,Buck Quartermain,Buck Quartermain,,,0,TNA
233,Buff Bagwell,Buff Bagwell,,,0,TNA
235,Cassidy Riley,Cassidy Riley,,,0,TNA
236,Chad Collyer,Chad Collyer,,,0,TNA
237,Chase Stevens,Chase Stevens,,,0,TNA
238,Cheex,Cheex,,,0,TNA
240,Chris Candido,Chris Candido,1972,2005,1,TNA
241,Chris Harris,Chris Harris,,,0,TNA
242,Chris K,Chris K,1970,2010,1,TNA
243,Chris Rock,Chris Rock,,,0,TNA
244,Chris Sabin,Chris Sabin,,,0,TNA
245,Chris Vaughn,Chris Vaughn,,,0,TNA
246,Christian Cage,Christian Cage,,,0,TNA
248,Christopher Daniels,Christopher Daniels,,,0,TNA
249,Christy Hemme,Christy Hemme,,,0,TNA
250,CM Punk,CM Punk,,,0,TNA
251,Cobain,Cobain,,,0,TNA
252,Consequences Creed,Consequences Creed,,,0,TNA
253,Crimson Dragon,Crimson Dragon,,,0,TNA
255,Curt Hennig,Curt Hennig,1958,2003,1,TNA
256,Dale Torborg,Dale Torborg,,,0,TNA
259,Danny Doring,Danny Doring,,,0,TNA
261,David Flair,David Flair,,,0,TNA
262,David Young,David Young,,,0,TNA
263,Delirious,Delirious,,,0,TNA
264,Derek Wylde,Derek Wylde,,,0,TNA
265,Desire,Desire,,,0,TNA
267,Devon Storm,Devon Storm,,,0,TNA
268,Diamond Dallas Page,Diamond Dallas Page,,,0,TNA
271,The Disciples of the New Church,Disciples of the New Church,,,0,TNA
272,Glenn Gilberti,Glenn Gilberti,,,0,TNA
273,Disgraceland,Disgraceland,,,0,TNA
274,D'Lo Brown,D'Lo Brown,,,0,TNA
275,Don Callis,Don Callis,,,0,TNA
276,Don Harris,Don Harris,,,0,TNA
277,D-Ray 3000,D-Ray 3000,,,0,TNA
279,Dustin Diamond,Dustin Diamond,1977,2021,1,TNA
280,Dustin Rhodes,Dustin Rhodes,,,0,TNA
281,Dusty Rhodes,Dusty Rhodes,1945,2015,1,TNA
282,Ed Ferrara,Ed Ferrara,,,0,TNA
283,Edward Chastain,Edward Chastain,,,0,TNA
284,Ekmo Fatu,Ekmo Fatu,1973,2009,1,TNA
287,Elix Skipper,Elix Skipper,,,0,TNA
288,The Empire Saint,Empire Saint,,,0,TNA
289,Eric Stevens,Eric Stevens,,,0,TNA
290,Eric Young,Eric Young,,,0,TNA
291,Erik Watts,Erik Watts,,,0,TNA
292,The Extreme Revolution,Extreme Revolution,,,0,TNA
293,EZ Money,EZ Money,,,0,TNA
294,Fake Spirit Squad,Fake Spirit Squad,,,0,TNA
295,Fake Sting - Classic (Eric Young),Fake Sting - Classic (Eric Young),,,0,TNA
296,Fake Sting - Crow (Chris Harris),Fake Sting - Crow (Chris Harris),,,0,TNA
297,Fake Sting - Retired (Monty Brown),Fake Sting - Retired (Monty Brown),,,0,TNA
300,Francine,Francine,,,0,TNA
302,Frankie Capone,Frankie Capone,1975,2024,1,TNA
303,Frankie Sloan,Frankie Sloan,,,0,TNA
304,Gail Kim,Gail Kim,,,0,TNA
305,The Gathering,Gathering,,,0,TNA
306,Goldy Locks,Goldy Locks,,,0,TNA
308,Harley Race,Harley Race,1943,2019,1,TNA
311,Heavy Metal,Heavy Metal,,,0,TNA
312,Hector Garza,Hector Garza,1969,2013,1,TNA
313,Hector Guerrero,Hector Guerrero,,,0,TNA
314,Hermie Sadler,Hermie Sadler,,,0,TNA
315,Hernandez,Hernandez,,,0,TNA
316,Hirooki Goto,Hirooki Goto,,,0,TNA
317,Hiroshi Tanahashi,Hiroshi Tanahashi,,,0,TNA
319,Homicide,Homicide,,,0,TNA
321,Ian Harrison,Ian Harrison,,,0,TNA
322,Incognito,Incognito,,,0,TNA
324,Irish Pat Kenney,Irish Pat Kenney,,,0,TNA
325,Jack Evans,Jack Evans,,,0,TNA
328,Jackie Moore,Jackie Moore,,,0,TNA
329,Jake Roberts,Jake Roberts,,,0,TNA
330,James Mitchell,James Mitchell,,,0,TNA
331,James Storm,James Storm,,,0,TNA
332,Jasmine St. Claire,Jasmine St. Claire,,,0,TNA
333,Jason Cross,Jason Cross,,,0,TNA
334,Jay Lethal,Jay Lethal,,,0,TNA
335,Jeff Hammond,Jeff Hammond,,,0,TNA
336,Jeff Hardy,Jeff Hardy,,,0,TNA
337,Jeff Jarrett,Jeff Jarrett,,,0,TNA
338,Jerrelle Clark,Jerrelle Clark,,,0,TNA
339,Jerry Lynn,Jerry Lynn,,,0,TNA
340,Jim Cornette,Jim Cornette,,,0,TNA
341,Jimmy Hart,Jimmy Hart,,,0,TNA
342,Jimmy Rave,Jimmy Rave,1982,2021,1,TNA
343,Jimmy Snuka,Jimmy Snuka,1943,2017,1,TNA
344,Jimmy Yang,Jimmy Yang,,,0,TNA
345,Joel Maximo,Joel Maximo,,,0,TNA
346,Joey Idol,Joey Idol,,,0,TNA
347,Joey Matthews,Joey Matthews,,,0,TNA
348,Johnny B. Badd,Johnny B. Badd,,,0,TNA
349,Johnny Devine,Johnny Devine,,,0,TNA
350,Jonny Fairplay,Jonny Fairplay,,,0,TNA
351,Johnny Swinger,Johnny Swinger,,,0,TNA
353,Jonah (Jonah Adelman),Jonah,,,0,TNA
354,Jonny Storm,Jonny Storm,,,0,TNA
355,Jorge Estrada,Jorge Estrada,,,0,TNA
356,Jose Maximo,Jose Maximo,,,0,TNA
357,Josh Daniels,Josh Daniels,,,0,TNA
358,Messias,Messias,,,0,TNA
359,Julio Dinero,Julio Dinero,,,0,TNA
360,Junior Fatu,Junior Fatu,,,0,TNA
361,Jushin 'Thunder' Liger,Jushin Thunder Liger,,,0,TNA
362,Justin Credible,Justin Credible,,,0,TNA
363,Juventud Guerrera,Juventud Guerrera,,,0,TNA
364,Karen Jarrett,Karen Jarrett,,,0,TNA
365,Frankie Kazarian,Frankie Kazarian,,,0,TNA
367,Ken Shamrock,Ken Shamrock,,,0,TNA
368,Kenzo Suzuki,Kenzo Suzuki,,,0,TNA
369,Kevin Nash,Kevin Nash,,,0,TNA
370,Kevin Northcutt,Kevin Northcutt,,,0,TNA
371,Kevin Sullivan,Kevin Sullivan,1949,2024,1,TNA
372,Kid Kash,Kid Kash,,,0,TNA
373,Kid Romeo,Kid Romeo,,,0,TNA
375,Kip James,Kip James,,,0,TNA
376,Ron Killings,Ron Killings,,,0,TNA
377,Konnan,Konnan,,,0,TNA
378,Kurt Angle,Kurt Angle,,,0,TNA
379,L.A. Park,L.A. Park,,,0,TNA
380,Lance Hoyt,Lance Hoyt,,,0,TNA
381,Larry Zbyszko,Larry Zbyszko,,,0,TNA
382,Lash LeRoux,Lash LeRoux,,,0,TNA
383,The L.A.X.,L.A.X.,,,0,TNA
384,Lazz,Lazz,,,0,TNA
385,Legend,Legend,,,0,TNA
386,Lenny Lane,Lenny Lane,,,0,TNA
387,Lex Lovett,Lex Lovett,,,0,TNA
388,Lex Luger,Lex Luger,,,0,TNA
391,Mad Mikey,Mad Mikey,1971,2003,1,TNA
392,Magno,Magno,,,0,TNA
393,Malice,Malice,1966,2003,1,TNA
394,Mascarita Sagrada,Mascarita Sagrada,,,0,TNA
395,The Masked Bullet,Masked Bullet,,,0,TNA
396,The Masked Luchadore,Masked Luchadore,,,0,TNA
398,Matt Morgan,Matt Morgan,,,0,TNA
399,Matt Striker,Matt Striker,,,0,TNA
400,Matt Sydal,Matt Sydal,,,0,TNA
401,Meatball,Meatball,,,0,TNA
403,Michael Shane,Michael Shane,,,0,TNA
404,Mike Awesome,Mike Awesome,1965,2007,1,TNA
405,Mike Sanders,Mike Sanders,,,0,TNA
406,Mikey Batts,Mikey Batts,,,0,TNA
407,Mikey Whipwreck,Mikey Whipwreck,,,0,TNA
408,Mini Pierroth,Mini Pierroth,,,0,TNA
409,Minoru Tanaka,Minoru Tanaka,,,0,TNA
410,Miyamoto,Miyamoto,,,0,TNA
411,Monty Brown,Monty Brown,,,0,TNA
413,Mr. Aguila,Mr. Aguila,,,0,TNA
414,Mr. X,Mr. X,,,0,TNA
417,New Jack,New Jack,1963,2021,1,TNA
420,Nigel McGuinness,Nigel McGuinness,,,0,TNA
421,Norman Smiley,Norman Smiley,,,0,TNA
422,Nosawa,Nosawa,,,0,TNA
423,ODB,ODB,,,0,TNA
424,Onyx,Onyx,,,0,TNA
426,Pacman Jones,Pacman Jones,,,0,TNA
427,Paparazzi Productions,Paparazzi Productions,,,0,TNA
428,Paul London,Paul London,,,0,TNA
429,Payton Banks,Payton Banks,,,0,TNA
430,Perry Saturn,Perry Saturn,,,0,TNA
431,Petey Williams,Petey Williams,,,0,TNA
433,Piratita Morgan,Piratita Morgan,1969,2018,1,TNA
434,Planet Jarrett,Planet Jarrett,,,0,TNA
435,Psicosis,Psicosis,,,0,TNA
436,Puma,Puma,,,0,TNA
437,Puppet,Puppet,1966,2020,1,TNA
439,Raisha Saeed,Raisha Saeed,,,0,TNA
440,"""Macho Man"" Randy Savage",Macho Man Randy Savage,1952,2011,1,TNA
441,Raven,Raven,,,0,TNA
443,Rellik,Rellik,,,0,TNA
444,Rhaka Khan,Rhaka Khan,,,0,TNA
445,Rhino,Rhino,,,0,TNA
447,Rick Steiner,Rick Steiner,,,0,TNA
448,Ricky Morton,Ricky Morton,,,0,TNA
449,Ricky Steamboat,Ricky Steamboat,,,0,TNA
450,Road Warrior Animal,Road Warrior Animal,1960,2020,1,TNA
452,Bobby Roode,Bobby Roode,,,0,TNA
455,Rod Steele,Rod Steele,1958,2011,1,TNA
456,Roderick Strong,Roderick Strong,,,0,TNA
458,Ron Harris,Ron Harris,,,0,TNA
459,Rowdy Roddy Piper,Rowdy Roddy Piper,1954,2015,1,TNA
460,Roxxi,Roxxi,,,0,TNA
461,Kon,Kon,,,0,TNA
463,S.E.X.,S.E.X.,,,0,TNA
464,Sabu,Sabu,1964,2025,1,TNA
465,Salinas,Salinas,,,0,TNA
466,Samoa Joe,Samoa Joe,,,0,TNA
467,The Sandman,Sandman,,,0,TNA
469,Scott D'Amore,Scott D'Amore,,,0,TNA
470,Scott Hall,Scott Hall,1958,2022,1,TNA
471,Scott Steiner,Scott Steiner,,,0,TNA
472,Sean Waltman,Sean Waltman,,,0,TNA
473,Low Ki,Low Ki,,,0,TNA
474,Serotonin,Serotonin,,,0,TNA
475,Shane Douglas,Shane Douglas,,,0,TNA
476,Shannon Moore,Shannon Moore,,,0,TNA
477,Shark Boy,Shark Boy,,,0,TNA
478,Sharmell,Sharmell,,,0,TNA
479,Shocker,Shocker,,,0,TNA
480,Short Sleeve Sampson,Short Sleeve Sampson,,,0,TNA
481,Simon Diamond,Simon Diamond,,,0,TNA
482,Simply Luscious,Simply Luscious,,,0,TNA
483,Sinn Bodhi,Sinn Bodhi,,,0,TNA
484,Sirelda,Sirelda,,,0,TNA
485,Slash,Slash,,,0,TNA
486,Slim J,Slim J,,,0,TNA
487,SoCal Val,SoCal Val,,,0,TNA
488,Sonjay Dutt,Sonjay Dutt,,,0,TNA
489,Sonny Siaki,Sonny Siaki,,,0,TNA
490,Spanky,Spanky,,,0,TNA
493,Steve Corino,Steve Corino,,,0,TNA
494,Sting,Sting,,,0,TNA
495,Super Crazy,Super Crazy,,,0,TNA
496,Takao Omori,Takao Omori,,,0,TNA
497,Taylor Vaughn,Taylor Vaughn,,,0,TNA
499,Team Canada,Team Canada,,,0,TNA
500,Team Japan,Team Japan,,,0,TNA
501,Team Mexico,Team Mexico,,,0,TNA
503,Team UK,Team UK,,,0,TNA
504,Team USA,Team USA,,,0,TNA
505,Teddy Hart,Teddy Hart,,,0,TNA
506,Teo,Teo,,,0,TNA
507,Terry Funk,Terry Funk,1944,2023,1,TNA
508,Terry Taylor,Terry Taylor,,,0,TNA
509,Tiger Mask IV,Tiger Mask IV,,,0,TNA
510,Tito Ortiz,Tito Ortiz,,,0,TNA
512,Todd Stone,Todd Stone,,,0,TNA
513,Tomko,Tomko,,,0,TNA
514,Tony Mamaluke,Tony Mamaluke,,,0,TNA
515,Traci Brooks,Traci Brooks,,,0,TNA
516,Trinity (Stephanie Finochio),Trinity (Stephanie Finochio),,,0,TNA
517,Trytan,Trytan,,,0,TNA
518,Tyson Dux,Tyson Dux,,,0,TNA
519,Vampire Warrior,Vampire Warrior,,,0,TNA
520,Vampiro,Vampiro,,,0,TNA
521,Velvet Sky,Velvet Sky,,,0,TNA
522,Vince Russo,Vince Russo,,,0,TNA
525,Zach Gowen,Zach Gowen,,,0,TNA
526,Too Cold Scorpio,Too Cold Scorpio,,,0,WCW
531,Akira Hokuto,Akira Hokuto,,,0,WCW
533,Al Green,Al Green,1955,2013,1,WCW
534,Alex Wright,Alex Wright,,,0,WCW
537,Antonio Inoki,Antonio Inoki,1943,2022,1,WCW
539,The Armstrong Brothers,Armstrong Brothers,,,0,WCW
540,Arn Anderson,Arn Anderson,,,0,WCW
542,Asya,Asya,,,0,WCW
543,Bam Bam Bigelow,Bam Bam Bigelow,1961,2007,1,WCW
544,The Barbarian,Barbarian,,,0,WCW
545,Barry Darsow,Barry Darsow,,,0,WCW
546,Barry Horowitz,Barry Horowitz,,,0,WCW
547,Barry Windham,Barry Windham,,,0,WCW
549,Ray Traylor,Ray Traylor,1963,2004,1,WCW
550,Big Daddy Dink,Big Daddy Dink,1949,2011,1,WCW
551,Big Josh,Big Josh,1957,2013,1,WCW
553,Vader,Vader,1955,2018,1,WCW
554,Big Vito,Big Vito,,,0,WCW
555,Bill Irwin,Bill Irwin,,,0,WCW
556,Bill Kazmaier,Bill Kazmaier,,,0,WCW
557,Billy Kidman,Billy Kidman,,,0,WCW
559,Black Blood,Black Blood,,,0,WCW
560,Black Cat,Black Cat,1954,2006,1,WCW
561,The Black Scorpion,Black Scorpion,,,0,WCW
562,Blitzkrieg,Blitzkrieg,,,0,WCW
564,Bobby Blaze,Bobby Blaze,,,0,WCW
565,Bobby Duncum Jr.,Bobby Duncum Jr.,1965,2000,1,WCW
566,Bobby Eaton,Bobby Eaton,1958,2021,1,WCW
567,Bobby Walker,Bobby Walker,,,0,WCW
568,Booker T,Booker T,,,0,WCW
571,Brad Armstrong,Brad Armstrong,1962,2012,1,WCW
572,Bret Hart,Bret Hart,,,0,WCW
573,Brian Knobbs,Brian Knobbs,,,0,WCW
574,Brian Pillman,Brian Pillman,1962,1997,1,WCW
575,Buddy Landel,Buddy Landel,1961,2015,1,WCW
577,Bunkhouse Buck,Bunkhouse Buck,,,0,WCW
578,Butch Reed,Butch Reed,1954,2021,1,WCW
579,Cactus Jack,Cactus Jack,,,0,WCW
580,Chavo Guerrero Jr.,Chavo Guerrero Jr.,,,0,WCW
581,Chris Adams,Chris Adams,1955,2001,1,WCW
582,Chris Benoit,Chris Benoit,1967,2007,1,WCW
583,Chris Candido,Chris Candido,1972,2005,1,WCW
584,Chris Jericho,Chris Jericho,,,0,WCW
585,Kanyon,Kanyon,1970,2010,1,WCW
586,Chuck Palumbo,Chuck Palumbo,,,0,WCW
587,Cí­clope,Ciclope,,,0,WCW
591,Crowbar,Crowbar,,,0,WCW
593,Curt Hennig,Curt Hennig,1958,2003,1,WCW
594,Mr. Hughes,Mr. Hughes,,,0,WCW
595,Daffney,Daffney,1975,2021,1,WCW
596,Damien,Damien,,,0,WCW
597,Dan Spivey,Dan Spivey,,,0,WCW
598,The Dangerous Alliance,Dangerous Alliance,,,0,WCW
600,The Dark Carnival,Dark Carnival,,,0,WCW
601,Dave Sullivan,Dave Sullivan,,,0,WCW
602,The British Bulldog,British Bulldog,1962,2002,1,WCW
603,David Arquette,David Arquette,,,0,WCW
604,David Flair,David Flair,,,0,WCW
605,David Taylor,David Taylor,,,0,WCW
606,Dean Malenko,Dean Malenko,,,0,WCW
607,Debbie Combs,Debbie Combs,,,0,WCW
608,The Demon,Demon,,,0,WCW
609,Diamond Dallas Page,Diamond Dallas Page,,,0,WCW
611,Dick Slater,Dick Slater,1951,2018,1,WCW
612,The Disciple,Disciple,,,0,WCW
613,Disco Inferno,Disco Inferno,,,0,WCW
617,The Dungeon of Doom,Dungeon of Doom,,,0,WCW
618,Dustin Rhodes,Dustin Rhodes,,,0,WCW
619,Dusty Rhodes,Dusty Rhodes,1945,2015,1,WCW
623,Eddie Guerrero,Eddie Guerrero,1967,2005,1,WCW
625,El Dandy,El Dandy,,,0,WCW
626,El Gato,El Gato,,,0,WCW
627,El Gigante,El Gigante,1966,2010,1,WCW
628,Elix Skipper,Elix Skipper,,,0,WCW
629,Emory Hale,Emory Hale,1969,2006,1,WCW
632,Eric Bischoff,Eric Bischoff,,,0,WCW
633,"Ernest ""The Cat"" Miller","Ernest ""The Cat"" Miller",,,0,WCW
634,Evan Karagias,Evan Karagias,,,0,WCW
637,The Filthy Animals,Filthy Animals,,,0,WCW
639,The First Family,First Family,,,0,WCW
640,Fit Finlay,Fit Finlay,,,0,WCW
641,The Four Horsemen,Four Horsemen,,,0,WCW
643,The Giant,Giant,,,0,WCW
644,Glacier,Glacier,,,0,WCW
645,Goldberg,Goldberg,,,0,WCW
647,The Great Muta,Great Muta,,,0,WCW
649,Hardcore Hak,Hardcore Hak,,,0,WCW
653,Héctor Garza,Hector Garza,1969,2013,1,WCW
655,Tenzan,Tenzan,,,0,WCW
657,Honky Tonk Man,Honky Tonk Man,,,0,WCW
658,Horace Hogan,Horace Hogan,,,0,WCW
659,Hugh Morrus,Hugh Morrus,,,0,WCW
660,Hulk Hogan,Hulk Hogan,,,0,WCW
664,JW Storm,JW Storm,,,0,WCW
665,Jake Roberts,Jake Roberts,,,0,WCW
666,James E. Cornette,James E. Cornette,,,0,WCW
668,Jason Jett,Jason Jett,,,0,WCW
670,Jean Paul Levesque,Jean Paul Levesque,,,0,WCW
671,Jeff Jarrett,Jeff Jarrett,,,0,WCW
672,Jerry Flynn,Jerry Flynn,,,0,WCW
673,Jesse Ventura,Jesse Ventura,,,0,WCW
674,Hacksaw Jim Duggan,Hacksaw Jim Duggan,,,0,WCW
675,Jim Neidhart,Jim Neidhart,1955,2018,1,WCW
676,Jim Powers,Jim Powers,,,0,WCW
677,Jungle Jim Steele,Jungle Jim Steele,,,0,WCW
678,Jimmy Graffiti,Jimmy Graffiti,1962,2014,1,WCW
679,Jimmy Hart,Jimmy Hart,,,0,WCW
680,Jimmy Valiant,Jimmy Valiant,,,0,JCP
682,Joey Maggs,Joey Maggs,1969,2006,1,WCW
683,Johnny Ace,Johnny Ace,,,0,WCW
684,Johnny B. Badd,Johnny B. Badd,,,0,WCW
685,Johnny Gunn,Johnny Gunn,,,0,WCW
686,Johnny Swinger,Johnny Swinger,,,0,WCW
